mrna,lncrna
1282,1427
1282,606
1282,146
1282,882
1282,561
1282,1495
1282,1109
1282,145
1282,425
1282,603
1282,476
1282,1101
1282,1393
1282,322
1282,1217
1282,189
1282,256
1246,1003
1246,362
1246,39
1246,1059
1246,1470
1246,1242
1246,254
1246,820
1246,83
1246,786
1246,220
1246,788
1246,1259
1246,1206
1246,959
1246,1427
1246,588
1246,606
1246,146
1246,288
1246,1015
1246,882
1246,937
1246,532
1246,53
1246,787
1246,921
1246,54
1246,121
1246,1050
1246,561
1246,1495
1246,581
1246,1109
1246,773
1246,603
1246,850
1246,59
1246,917
1246,1140
1246,476
1246,1142
1246,1101
1246,916
1246,755
1246,1393
1246,66
1246,445
1246,1048
1246,52
1246,497
1246,967
1246,1245
667,1003
667,362
667,39
667,1059
667,1470
667,1242
667,254
667,820
667,83
667,786
667,220
667,788
667,1259
667,1206
667,0
667,959
667,588
667,1321
667,606
667,146
667,288
667,882
667,937
667,532
667,1196
667,53
667,787
667,921
667,54
667,121
667,1050
667,200
667,1495
667,581
667,1109
667,603
667,1253
667,850
667,150
667,917
667,1140
667,1142
667,916
667,755
667,444
667,1393
667,559
667,875
667,1048
667,710
667,52
667,1300
667,497
667,681
667,55
667,242
667,1245
667,915
667,1225
667,1252
1178,1003
1178,362
1178,39
1178,1059
1178,1470
1178,1242
1178,254
1178,220
1178,1259
1178,1206
1178,959
1178,1321
1178,146
1178,288
1178,937
1178,532
1178,1196
1178,200
1178,581
1178,710
475,851
475,624
475,275
475,283
475,262
475,165
475,463
475,653
475,154
475,863
475,126
475,501
475,1480
475,1175
475,646
475,36
475,474
475,898
475,864
475,1292
475,1286
475,381
475,455
475,1024
475,1291
475,1038
475,20
475,1025
475,641
475,1023
475,1026
475,1058
475,610
475,761
475,32
475,613
475,1314
475,607
475,1060
475,806
475,566
1658,1470
1658,820
1658,83
1658,786
1658,220
1658,788
1658,1259
1658,1206
1658,959
1658,1427
1658,606
1658,146
1658,288
1658,1015
1658,882
1658,532
1658,53
1658,787
1658,921
1658,54
1658,121
1658,1050
1658,614
1658,561
1658,1495
1658,1109
1658,773
1658,425
1658,603
1658,850
1658,494
1658,59
1658,1215
1658,188
1658,917
1658,796
1658,1140
1658,185
1658,522
1658,476
1658,1142
1658,1101
1658,916
1658,755
1658,740
1658,444
1658,1393
1658,66
1658,1128
1658,138
1658,322
1658,445
1658,789
1658,1048
1658,1475
1658,52
1658,30
1658,1300
1658,497
1658,681
1658,967
1658,287
1658,1375
1658,55
1658,1037
1658,1363
1658,242
1658,1245
1658,915
1658,31
1658,785
1658,149
1658,1184
1658,1225
1658,219
1658,518
1658,1073
1658,1387
1658,1338
1658,282
1658,589
1658,1325
1658,1166
1658,615
1658,4
1658,1022
1658,996
1658,1383
1658,1263
1658,884
1658,347
1658,964
1658,189
1658,461
1658,484
1658,319
1658,1230
1658,144
1658,1364
1658,1295
1658,1411
1658,203
1658,687
1658,359
1658,1167
1658,923
1658,760
1658,292
2321,1470
2321,820
2321,786
2321,788
2321,1259
2321,959
2321,1427
2321,606
2321,146
2321,288
2321,1015
2321,882
2321,532
2321,53
2321,787
2321,921
2321,54
2321,121
2321,1050
2321,614
2321,561
2321,1495
2321,1109
2321,145
2321,773
2321,425
2321,603
2321,850
2321,59
2321,1215
2321,188
2321,1140
2321,185
2321,522
2321,476
2321,1142
2321,1101
2321,916
2321,755
2321,740
2321,1393
2321,66
2321,1128
2321,138
2321,322
2321,445
2321,1048
2321,52
2321,1300
2321,497
2321,681
2321,1375
2321,55
2321,1037
2321,1363
2321,915
2321,149
2321,1184
2321,1225
2321,219
2321,282
2321,238
2321,1383
2321,347
2321,189
2321,484
2321,483
2321,1364
2321,635
2321,1411
2321,203
2321,256
2321,923
2321,760
956,1003
956,362
956,39
956,1059
956,1470
956,1242
956,254
956,820
956,83
956,786
956,220
956,788
956,1259
956,1206
956,0
956,959
956,588
956,1321
956,598
956,606
956,146
956,288
956,937
956,532
956,1196
956,200
956,581
956,1253
956,850
956,150
956,917
956,685
956,559
956,875
956,710
956,1496
373,1003
373,362
373,39
373,1059
373,1470
373,1242
373,820
373,83
373,786
373,220
373,788
373,1259
373,1206
373,959
373,1427
373,606
373,146
373,288
373,1015
373,882
373,937
373,532
373,53
373,787
373,921
373,54
373,121
373,1050
373,614
373,561
373,1495
373,581
373,1109
373,773
373,425
373,603
373,850
373,494
373,59
373,1215
373,188
373,917
373,796
373,1140
373,185
373,522
373,476
373,1142
373,1101
373,916
373,755
373,740
373,444
373,1393
373,66
373,1128
373,138
373,322
373,445
373,789
373,1048
373,1475
373,52
373,30
373,1300
373,497
373,681
373,967
373,287
373,1375
373,55
373,1037
373,1363
373,242
373,1245
373,915
373,31
373,785
373,149
373,1184
373,1225
373,219
373,518
373,1073
373,1387
373,1488
373,1338
373,282
373,589
373,1325
373,1166
373,615
373,1022
373,765
373,996
373,1383
373,1263
373,884
373,347
373,964
373,461
373,484
373,1364
373,1411
373,203
373,687
373,760
373,292
520,1470
520,820
520,83
520,786
520,220
520,788
520,1259
520,1206
520,959
520,1427
520,606
520,146
520,288
520,1015
520,882
520,532
520,53
520,787
520,921
520,54
520,121
520,1050
520,614
520,561
520,1495
520,1109
520,773
520,425
520,603
520,850
520,494
520,59
520,1215
520,188
520,917
520,796
520,1140
520,185
520,522
520,476
520,1142
520,1101
520,916
520,755
520,740
520,444
520,1393
520,66
520,1128
520,138
